Titles,Descriptions,Ids,Pub_year,Article_links,Year,Keyword
"Evaluation of data concerning the necessity of bromoxynil as herbicide to control a serious danger to plant health which cannot be contained by other available means, including non-chemical methods.",,32626027,,https://pubmed.ncbi.nlm.nih.gov/32626027/,2018,danger
Extracellular ATP is a danger signal activating P2X7 receptor in a LPS mediated inflammation (ARDS/ALI).,,30093975,,https://pubmed.ncbi.nlm.nih.gov/30093975/,2018,danger
U.S. Mexican parents' use of harsh parenting in the context of neighborhood danger.,,30070571,,https://pubmed.ncbi.nlm.nih.gov/30070571/,2018,danger
Danger and safety signals independently influence persistent pathological avoidance in anxiety-vulnerable Wistar Kyoto rats: A role for impaired configural learning in anxiety vulnerability.,,30063948,,https://pubmed.ncbi.nlm.nih.gov/30063948/,2018,danger
The 2011 German Enterohemorrhagic Escherichia Coli O104:H4 Outbreak-The Danger Is Still Out There.,,30062592,,https://pubmed.ncbi.nlm.nih.gov/30062592/,2018,danger
Cutaneous innervation of the distal forearm and hand - Minimizing complication rate by defining danger zones for surgical approaches.,,30048757,,https://pubmed.ncbi.nlm.nih.gov/30048757/,2018,danger
"Crime, Perceived Danger, and Adiposity: The Role of Gender.",,30033845,,https://pubmed.ncbi.nlm.nih.gov/30033845/,2018,danger
Perceived danger during deployment: a Rasch validation of an instrument assessing perceived combat exposure and the witnessing of combat consequences in a war zone.,,30013725,,https://pubmed.ncbi.nlm.nih.gov/30013725/,2018,danger
Targeting of drug-loaded nanoparticles to tumor sites increases cell death and release of danger signals.,,30008372,,https://pubmed.ncbi.nlm.nih.gov/30008372/,2018,danger
Editorial: Danger-associated molecular patterns in health and disease.,,30005765,,https://pubmed.ncbi.nlm.nih.gov/30005765/,2018,danger
Editorial Commentary: Drilling Is Never Easy Nor Without Danger in the Shoulder Region.,,29976421,,https://pubmed.ncbi.nlm.nih.gov/29976421/,2018,danger
Paper shredder machines: a danger to little fingers. A case of triple finger amputation in a 2-year-old boy.,,29958503,,https://pubmed.ncbi.nlm.nih.gov/29958503/,2018,danger
"Counseling and Knowledge of Danger Signs of Pregnancy Complications in Haiti, Malawi, and Senegal.",,29936656,,https://pubmed.ncbi.nlm.nih.gov/29936656/,2018,danger
A case report of hemolytic streptococcal gangrene in the danger triangle of the face with thrombocytopenia and hepatitis.,,29933752,,https://pubmed.ncbi.nlm.nih.gov/29933752/,2018,danger
Normalization of Plus Size and the Danger of Unseen Overweight and Obesity in England.,,29932517,,https://pubmed.ncbi.nlm.nih.gov/29932517/,2018,danger
"The Body of Cognitive and Metacognitive Variables in Eating Disorders: Need of Control, Negative Beliefs about Worry Uncontrollability and Danger, Perfectionism, Self-esteem and Worry.",,29916407,,https://pubmed.ncbi.nlm.nih.gov/29916407/,2018,danger
Danger in the Air: Air Pollution and Cognitive Dysfunction.,,29874918,,https://pubmed.ncbi.nlm.nih.gov/29874918/,2018,danger
Racial bias in implicit danger associations generalizes to older male targets.,,29874255,,https://pubmed.ncbi.nlm.nih.gov/29874255/,2018,danger
"'Extraordinarily arduous and fraught with danger': syphilis, Salvarsan, and general paresis of the insane.",,29866584,,https://pubmed.ncbi.nlm.nih.gov/29866584/,2018,danger
Control of cell death-associated danger signals during cornification prevents autoinflammation of the skin.,,29862564,,https://pubmed.ncbi.nlm.nih.gov/29862564/,2018,danger
Danger signals in stroke and their role on microglia activation after ischemia.,,29854002,,https://pubmed.ncbi.nlm.nih.gov/29854002/,2018,danger
Taking heed of the 'danger space': acute descending necrotising mediastinitis secondary to primary odontogenic infection.,,29848536,,https://pubmed.ncbi.nlm.nih.gov/29848536/,2018,danger
[Elderly Drivers: Danger or Person at Risk?].,,29807375,,https://pubmed.ncbi.nlm.nih.gov/29807375/,2018,danger
"[The horizon of medical attention in pediatrics: what to do in the case of children who are in abandonment, conflict, harm or danger situations in combination with a severe disease?].",,29799532,,https://pubmed.ncbi.nlm.nih.gov/29799532/,2018,danger
Danger signals from mitochondrial DAMPS in trauma and post-injury sepsis.,,29797026,,https://pubmed.ncbi.nlm.nih.gov/29797026/,2018,danger
The Danger Zone for Noise Hazards Around the Black Hawk Helicopter.,,29789088,,https://pubmed.ncbi.nlm.nih.gov/29789088/,2018,danger
Vitamin A distribution in danger.,,29781430,,https://pubmed.ncbi.nlm.nih.gov/29781430/,2018,danger
"Massive Hemoptysis: Danger is Real, Promptness is Essential.",,29755806,,https://pubmed.ncbi.nlm.nih.gov/29755806/,2018,danger
Proteomic Identification of Heat Shock-Induced Danger Signals in a Melanoma Cell Lysate Used in Dendritic Cell-Based Cancer Immunotherapy.,,29744371,,https://pubmed.ncbi.nlm.nih.gov/29744371/,2018,danger
Husband's involvement with mother's awareness and knowledge of newborn danger signs in facility-based childbirth settings: a cross-sectional study from rural Bangladesh.,,29743103,,https://pubmed.ncbi.nlm.nih.gov/29743103/,2018,danger
Danger signals in trauma.,,29728738,,https://pubmed.ncbi.nlm.nih.gov/29728738/,2018,danger
Fire danger index efficiency as a function of fuel moisture and fire behavior.,,29727954,,https://pubmed.ncbi.nlm.nih.gov/29727954/,2018,danger
The Danger of Relying on Database Spectra.,,29718679,,https://pubmed.ncbi.nlm.nih.gov/29718679/,2018,danger
Danger-Associated Peptides Close Stomata by OST1-Independent Activation of Anion Channels in Guard Cells.,,29716993,,https://pubmed.ncbi.nlm.nih.gov/29716993/,2018,danger
Lightning may pose a danger to patients receiving deep brain stimulation: case report.,,29712499,,https://pubmed.ncbi.nlm.nih.gov/29712499/,2018,danger
Severe mental illness and firearm access: Is violence really the danger?,,29701598,,https://pubmed.ncbi.nlm.nih.gov/29701598/,2018,danger
Listeria monocytogenes - Danger for health safety vegetable production.,,29684542,,https://pubmed.ncbi.nlm.nih.gov/29684542/,2018,danger
Increased Plasma Levels of Danger-Associated Molecular Patterns Are Associated With Immune Suppression and Postoperative Infections in Patients Undergoing Cytoreductive Surgery and Hyperthermic Intraperitoneal Chemotherapy.,,29675023,,https://pubmed.ncbi.nlm.nih.gov/29675023/,2018,danger
Causal Beliefs Affect Treatment Practices and Preferences for Neonatal Danger Signs in Northwest Ethiopia: A Qualitative Study.,,29663902,,https://pubmed.ncbi.nlm.nih.gov/29663902/,2018,danger
Gentle 'slow slip' earthquakes belie hidden danger.,,29657317,,https://pubmed.ncbi.nlm.nih.gov/29657317/,2018,danger
"Hidden danger: Unexpected scenario in the vector-parasite dynamics of leishmaniases in the Brazil side of triple border (Argentina, Brazil and Paraguay).",,29624586,,https://pubmed.ncbi.nlm.nih.gov/29624586/,2018,danger
"[""Danger theory""as a common mechanism of sarcoidosis induction by infectious and non- infectious factors - a role of environmental factors and autoimmunity].",,29601556,,https://pubmed.ncbi.nlm.nih.gov/29601556/,2018,danger
"[""Danger theory"" as a common mechanism of sarcoidosis induction by infectious and non-infectious factors - a role of genetics factors].",,29601555,,https://pubmed.ncbi.nlm.nih.gov/29601555/,2018,danger
Hepatitis C in Injection-Drug Users - A Hidden Danger of the Opioid Epidemic.,,29601263,,https://pubmed.ncbi.nlm.nih.gov/29601263/,2018,danger
"Insomnia, Posttraumatic Stress Disorder Symptoms, and Danger: Their Impact on Victims' Return to Court for Orders of Protection.",,29589520,,https://pubmed.ncbi.nlm.nih.gov/29589520/,2018,danger
"Low level of knowledge about neonatal danger signs and its associated factors among postnatal mothers attending at Woldia general hospital, Ethiopia.",,29568539,,https://pubmed.ncbi.nlm.nih.gov/29568539/,2018,danger
Encoding of danger by parabrachial CGRP neurons.,,29562230,,https://pubmed.ncbi.nlm.nih.gov/29562230/,2018,danger
Interleukin-32: An endogenous danger signal or master regulator of intracellular pathogen infections-Focus on leishmaniases.,,29551246,,https://pubmed.ncbi.nlm.nih.gov/29551246/,2018,danger
Beware when danger on the road has passed. The state of relief impairs a driver's ability to avoid accidents.,,29549773,,https://pubmed.ncbi.nlm.nih.gov/29549773/,2018,danger
Does the Danger model shed any light on central tolerance?: A response to Al-Yassin.,,29542175,,https://pubmed.ncbi.nlm.nih.gov/29542175/,2018,danger
Platelet toll-like receptors are crucial sensors of infectious danger moieties.,,29533683,,https://pubmed.ncbi.nlm.nih.gov/29533683/,2018,danger
Cardiovascular disease in ANCA-associated vasculitis: The danger lurking beneath the surface!,,29530329,,https://pubmed.ncbi.nlm.nih.gov/29530329/,2018,danger
The danger lurks dastardly in the coronary vessel wall: spotlight on patients' vulnerability.,,29529173,,https://pubmed.ncbi.nlm.nih.gov/29529173/,2018,danger
Integration of danger peptide signals with herbivore-associated molecular pattern signaling amplifies anti-herbivore defense responses in rice.,,29513388,,https://pubmed.ncbi.nlm.nih.gov/29513388/,2018,danger
Electric scooter burns and the danger of personal mobility device battery.,,29512349,,https://pubmed.ncbi.nlm.nih.gov/29512349/,2018,danger
Multi-modal survey of Adélie penguin mega-colonies reveals the Danger Islands as a seabird hotspot.,,29500389,,https://pubmed.ncbi.nlm.nih.gov/29500389/,2018,danger
Is exercise becoming a danger for our health? The complex relationship between exercise and atrial fibrillation.,,29488811,,https://pubmed.ncbi.nlm.nih.gov/29488811/,2018,danger
Is liberal independent dental practice in danger? Assessing forms of dental practice in the European Regional Organization (ERO) zone of the FDI World Dental Federation.,,29484312,,https://pubmed.ncbi.nlm.nih.gov/29484312/,2018,danger
"Medawar's ""actively acquired tolerance"" and the Danger model: Setting the record straight.",,29476657,,https://pubmed.ncbi.nlm.nih.gov/29476657/,2018,danger
Endoplasmic reticulum stress stimulates the release of extracellular vesicles carrying danger-associated molecular pattern (DAMP) molecules.,,29467921,,https://pubmed.ncbi.nlm.nih.gov/29467921/,2018,danger
Danger Changes the Way the Mammalian Brain Stores Information About Innocuous Events: A Study of Sensory Preconditioning in Rats.,,29464195,,https://pubmed.ncbi.nlm.nih.gov/29464195/,2018,danger
Sensing Danger After Kidney Transplantation.,,29461441,,https://pubmed.ncbi.nlm.nih.gov/29461441/,2018,danger
The human skin as a sub-THz receiver - Does 5G pose a danger to it or not?,,29459303,,https://pubmed.ncbi.nlm.nih.gov/29459303/,2018,danger
Beware the Danger Lurking Under the Shroud of Alcohol.,,29458796,,https://pubmed.ncbi.nlm.nih.gov/29458796/,2018,danger
Rope Jumping-Induced Traumatic Compression Fractures: the Underestimated Danger of Repetitive Axial Load Forces.,,29454122,,https://pubmed.ncbi.nlm.nih.gov/29454122/,2018,danger
The Danger of Applying the ProtecT Trial to Minority Populations.,,29450467,,https://pubmed.ncbi.nlm.nih.gov/29450467/,2018,danger
Structures of C1-IgG1 provide insights into how danger pattern recognition activates complement.,,29449492,,https://pubmed.ncbi.nlm.nih.gov/29449492/,2018,danger
The Danger Zone in the Anterior Neck: Anatomical Landmarks to Avoid Injury to Anterior Jugular Vein During Face-Lift and Neck-Lift.,,29445428,,https://pubmed.ncbi.nlm.nih.gov/29445428/,2018,danger
Danger Signals in the ICU.,,29443814,,https://pubmed.ncbi.nlm.nih.gov/29443814/,2018,danger
Women and alcoholic liver disease - warning of a silent danger.,,29443115,,https://pubmed.ncbi.nlm.nih.gov/29443115/,2018,danger
Cross-sectional survey of knowledge of obstetric danger signs among women in rural Madagascar.,,29402226,,https://pubmed.ncbi.nlm.nih.gov/29402226/,2018,danger
Pathogen- and Danger-Associated Molecular Patterns and the Cytokine Response in Sepsis.,,29364781,,https://pubmed.ncbi.nlm.nih.gov/29364781/,2018,danger
"Stone Liver, Heart in Danger: Could the Liver Stiffness Assessment Improve the Management of Patients With Heart Failure?",,29361494,,https://pubmed.ncbi.nlm.nih.gov/29361494/,2018,danger
Groundwater Arsenic Contamination in the Ganga River Basin: A Future Health Danger.,,29360747,,https://pubmed.ncbi.nlm.nih.gov/29360747/,2018,danger
"Evaluation of data concerning the necessity of pymetrozine as an insecticide to control a serious danger to plant health which cannot be contained by other available means, including non-chemical methods.",,32625676,,https://pubmed.ncbi.nlm.nih.gov/32625676/,2018,danger
Feet in danger: short exposure to contaminated soil causing health damage-an experimental study.,,29322391,,https://pubmed.ncbi.nlm.nih.gov/29322391/,2018,danger
Unfolding Role of a Danger Molecule Adenosine Signaling in Modulation of Microbial Infection and Host Cell Response.,,29315226,,https://pubmed.ncbi.nlm.nih.gov/29315226/,2018,danger
Knowledge of danger signs during pregnancy and subsequent healthcare seeking actions among women in Urban Tanzania: a cross-sectional study.,,29295710,,https://pubmed.ncbi.nlm.nih.gov/29295710/,2018,danger
Danger-Associated Molecular Patterns Derived From the Extracellular Matrix Provide Temporal Control of Innate Immunity.,,29290139,,https://pubmed.ncbi.nlm.nih.gov/29290139/,2018,danger
"Study of the occurrence and ecosystem danger of selected endocrine disruptors in the urban water cycle of the city of Bogotá, Colombia.",,29281496,,https://pubmed.ncbi.nlm.nih.gov/29281496/,2018,danger
Differential use of danger and safety signals in an animal model of anxiety vulnerability: The behavioral economics of avoidance.,,29175308,,https://pubmed.ncbi.nlm.nih.gov/29175308/,2018,danger
IL-1α in acetaminophen toxicity: a sterile danger signal.,,29151582,,https://pubmed.ncbi.nlm.nih.gov/29151582/,2018,danger
Depression and sterile inflammation: Essential role of danger associated molecular patterns.,,29102801,,https://pubmed.ncbi.nlm.nih.gov/29102801/,2018,danger
The danger of being inattentive - ADHD symptoms and risky sexual behaviour in Russian adolescents.,,29100171,,https://pubmed.ncbi.nlm.nih.gov/29100171/,2018,danger
The Role of Danger Signals in the Pathogenesis and Perpetuation of Critical Illness.,,28977759,,https://pubmed.ncbi.nlm.nih.gov/28977759/,2018,danger
Uremic toxins are conditional danger- or homeostasis-associated molecular patterns.,,28930551,,https://pubmed.ncbi.nlm.nih.gov/28930551/,2018,danger
Inspiring Confidence as a Young Therapist and the Danger of Being Too Transparent.,,28800277,,https://pubmed.ncbi.nlm.nih.gov/28800277/,2018,danger
Cesarean Scar Ectopic Pregnancy: The Lurking Danger in Post Cesarean Failed Medical Abortion.,,32518574,,https://pubmed.ncbi.nlm.nih.gov/32518574/,2019,danger
Surgical and Functional Considerations of Dermatofibrosarcoma Protuberans Involving Facial Nerve Danger Zones.,,32038764,,https://pubmed.ncbi.nlm.nih.gov/32038764/,2019,danger
Renal arteriovenous malformation mimicking hydronephrosis-hidden danger.,,31938565,,https://pubmed.ncbi.nlm.nih.gov/31938565/,2019,danger
Perspective: Cell danger response Biology-The new science that connects environmental health with mitochondria and the rising tide of chronic illness.,,31877376,,https://pubmed.ncbi.nlm.nih.gov/31877376/,2019,danger
"Knowledge of neonatal danger signs among recently delivered mothers in Mekedella woreda, Northeast Ethiopia, in 2017: a cross-sectional study.",,31874457,,https://pubmed.ncbi.nlm.nih.gov/31874457/,2019,danger
"Men's knowledge and involvement on obstetric danger signs, birth preparedness and complication readiness in Burayu town, Oromia region, Ethiopia.",,31864314,,https://pubmed.ncbi.nlm.nih.gov/31864314/,2019,danger
"Response to the comment of Foster et al. titled ""Comments on Betzalel et al. ""The human skin as a sub-THz receiver-Does 5G pose a danger to it or not?"" [Environ. Res. 163 (2018): 208-216]"".",,31863940,,https://pubmed.ncbi.nlm.nih.gov/31863940/,2019,danger
The danger of conflating level-specific effects of control variables when primary interest lies in level-2 effects.,,31853965,,https://pubmed.ncbi.nlm.nih.gov/31853965/,2019,danger
Upper Gastrointestinal Perforations: A Possible Danger of Antibiotic Overuse.,,31845145,,https://pubmed.ncbi.nlm.nih.gov/31845145/,2019,danger
"Improving pregnant women's knowledge on danger signs and birth preparedness practices using an interactive mobile messaging alert system in Dodoma region, Tanzania: a controlled quasi experimental study.",,31831076,,https://pubmed.ncbi.nlm.nih.gov/31831076/,2019,danger
Bidirectional cingulate-dependent danger information transfer across rats.,,31805039,,https://pubmed.ncbi.nlm.nih.gov/31805039/,2019,danger
"Reply to Peters and Pittet, ""Influenza and Alcohol-Based Handrub: the Danger of Ignoring Clinical Relevance,"" and Boyce, ""Alcohol-Based Handrubs and Influenza A"".",,31776243,,https://pubmed.ncbi.nlm.nih.gov/31776243/,2019,danger
Influenza and Alcohol-Based Handrub: the Danger of Ignoring Clinical Relevance.,,31776242,,https://pubmed.ncbi.nlm.nih.gov/31776242/,2019,danger
Malnutrition as a Complication of Bariatric Surgery - A Clear and Present Danger?,,31768394,,https://pubmed.ncbi.nlm.nih.gov/31768394/,2019,danger
The Infectious Danger of Corticosteroids: A Fatal Case of Pneumocystis Jirovecii Pneumonia in a Non-HIV Patient Following Corticosteroid Use with Prophylaxis.,,31763097,,https://pubmed.ncbi.nlm.nih.gov/31763097/,2019,danger
"'Men don't have patience': Sexuality, pleasure and danger in displacement settings in Northcentral Nigeria.",,31743069,,https://pubmed.ncbi.nlm.nih.gov/31743069/,2019,danger
Combustion of pneumoperitoneum: a rare danger in the operating room.,,31737247,,https://pubmed.ncbi.nlm.nih.gov/31737247/,2019,danger
Looming Danger: Unraveling the Circuitry for Predator Threats.,,31699467,,https://pubmed.ncbi.nlm.nih.gov/31699467/,2019,danger
Danger of Herbal Tea: A Case of Acute Cholestatic Hepatitis Due to Artemisia annua Tea.,,31681778,,https://pubmed.ncbi.nlm.nih.gov/31681778/,2019,danger
Microbial Danger Signals Control Transcriptional Induction of Distinct MHC Class I L Lineage Genes in Atlantic Salmon.,,31681311,,https://pubmed.ncbi.nlm.nih.gov/31681311/,2019,danger
Stranger danger? The intersectional impacts of shared housing on young people's health & wellbeing.,,31678830,,https://pubmed.ncbi.nlm.nih.gov/31678830/,2019,danger
"Danger is only skin deep: aggressive epidermal carcinomas. An overview of the diagnosis, demographics, molecular-genetics, staging, prognostic biomarkers, and therapeutic advances in Merkel cell carcinoma.",,31676786,,https://pubmed.ncbi.nlm.nih.gov/31676786/,2019,danger
"Toy Guns, Real Danger: An Update on Pediatric Injury Patterns Related to Nonpowder Weapons.",,31676076,,https://pubmed.ncbi.nlm.nih.gov/31676076/,2019,danger
Salmon in clear and present danger.,,31672888,,https://pubmed.ncbi.nlm.nih.gov/31672888/,2019,danger
Nurses in the Face of Danger.,,31651477,,https://pubmed.ncbi.nlm.nih.gov/31651477/,2019,danger
"Correlates of Obstetric Risk Perception and Recognition of Danger Signs in Kano, Northern Nigeria.",,31646140,,https://pubmed.ncbi.nlm.nih.gov/31646140/,2019,danger
Danger signals and inflammaging in osteoarthritis.,,31621566,,https://pubmed.ncbi.nlm.nih.gov/31621566/,2019,danger
Alcohol-based hand rub and influenza A: the danger of publishing a flawed study with no clinical relevance.,,31606432,,https://pubmed.ncbi.nlm.nih.gov/31606432/,2019,danger
Do you smell the danger? Effects of three commonly used pesticides on the olfactory-mediated antipredator response of zebrafish (Danio rerio).,,31604193,,https://pubmed.ncbi.nlm.nih.gov/31604193/,2019,danger
"Knowledge of neonatal danger signs and associated factors among mothers who gave birth during the last 4 months while attending immunization services in Harar town public health facilities, Ethiopia, 2017.",,31601235,,https://pubmed.ncbi.nlm.nih.gov/31601235/,2019,danger
Smelling Danger: Olfactory Stem Cells Control Immune Defense during Chronic Inflammation.,,31585089,,https://pubmed.ncbi.nlm.nih.gov/31585089/,2019,danger
Individual combinations of danger signals synergistically increase FVIII product immunogenicity.,,31584736,,https://pubmed.ncbi.nlm.nih.gov/31584736/,2019,danger
E-Cigarettes and the Danger They Pose to Society.,,31577493,,https://pubmed.ncbi.nlm.nih.gov/31577493/,2019,danger
Hidden Danger Behind the Prolapse.,,31569957,,https://pubmed.ncbi.nlm.nih.gov/31569957/,2019,danger
Partial Bone Formation in Additive Manufactured Porous Implants Reduces Predicted Stress and Danger of Fatigue Failure.,,31549330,,https://pubmed.ncbi.nlm.nih.gov/31549330/,2019,danger
"Knowledge of obstetric danger signs and its associated factors among pregnant women in Angolela Tera District, Northern Ethiopia.",,31547838,,https://pubmed.ncbi.nlm.nih.gov/31547838/,2019,danger
Danger-associated extracellular ATP counters MDSC therapeutic efficacy in acute GVHD.,,31533918,,https://pubmed.ncbi.nlm.nih.gov/31533918/,2019,danger
